player_team,Player_jersey,reds,yellows,off_sides,fouls_number,,
Japan,17,0,1,0,6,,"insert into player_stat values ('Japan',17,0,1,0,6);"
Korea Republic,8,0,0,0,3,,"insert into player_stat values ('Korea Republic',8,0,0,0,3);"
Panama,9,0,0,1,1,,"insert into player_stat values ('Panama',9,0,0,1,1);"
Japan,6,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Japan',6,NULL,NULL,NULL,NULL);"
Denmark,15,0,0,1,0,,"insert into player_stat values ('Denmark',15,0,0,1,0);"
Korea Republic,5,0,0,0,1,,"insert into player_stat values ('Korea Republic',5,0,0,0,1);"
Panama,1,0,0,0,0,,"insert into player_stat values ('Panama',1,0,0,0,0);"
IR Iran,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('IR Iran',12,NULL,NULL,NULL,NULL);"
Switzerland,4,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Switzerland',4,NULL,NULL,NULL,NULL);"
Colombia,5,0,2,0,8,,"insert into player_stat values ('Colombia',5,0,2,0,8);"
Uruguay,18,0,0,0,1,,"insert into player_stat values ('Uruguay',18,0,0,0,1);"
Uruguay,14,0,0,0,4,,"insert into player_stat values ('Uruguay',14,0,0,0,4);"
Argentina,11,0,0,3,1,,"insert into player_stat values ('Argentina',11,0,0,3,1);"
England,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('England',13,NULL,NULL,NULL,NULL);"
Peru,22,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Peru',22,NULL,NULL,NULL,NULL);"
Mexico,11,0,0,1,3,,"insert into player_stat values ('Mexico',11,0,0,1,3);"
Senegal,17,0,0,0,1,,"insert into player_stat values ('Senegal',17,0,0,0,1);"
Senegal,9,0,0,2,1,,"insert into player_stat values ('Senegal',9,0,0,2,1);"
Germany,9,0,0,3,1,,"insert into player_stat values ('Germany',9,0,0,3,1);"
Brazil,6,0,1,0,1,,"insert into player_stat values ('Brazil',6,0,1,0,1);"
Croatia,10,0,0,0,12,,"insert into player_stat values ('Croatia',10,0,0,0,12);"
Spain,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Spain',13,NULL,NULL,NULL,NULL);"
Nigeria,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Nigeria',16,NULL,NULL,NULL,NULL);"
England,3,0,0,1,1,,"insert into player_stat values ('England',3,0,0,1,1);"
Korea Republic,14,0,0,0,2,,"insert into player_stat values ('Korea Republic',14,0,0,0,2);"
Denmark,9,0,0,2,4,,"insert into player_stat values ('Denmark',9,0,0,2,4);"
