first-name,last-name,team,jersey,position,Bdate,height,caps,goals,match_red_card
Antonio,RUKAVINA ,Serbia,2,Defender,26-Jan-84,177,49,0,0
Martin,OLSSON ,Sweden,5,Defender,17-May-88,177,45,5,0
Nahuel,GUZMAN ,Argentina,1,Goalkeeper,10-Feb-86,192,6,0,null
Hugo,AYALA ,Mexico,2,Defender,31-Mar-87,188,45,1,0
Ismaila,SARR ,Senegal,18,Forward,25-Feb-98,175,16,3,0
Ellyes,SKHIRI ,Tunisia,17,Midfielder,10-May-95,185,8,0,0
Christian,BOLANOS ,Costa Rica,7,Midfielder,17-May-84,178,84,7,0
ESSAM,ELHADARY ,Egypt,1,Goalkeeper,15-Jan-73,190,159,0,0
Andreas,GRANQVIST ,Sweden,4,Defender,16-Apr-85,192,77,8,0
Maximiliano,GOMEZ ,Uruguay,18,Forward,14-Aug-96,186,7,0,0
Albert,GUDMUNDSSON ,Iceland,4,Midfielder,15-Jun-97,177,6,3,0
Dimitrios,PETRATOS ,Australia,21,Forward,10-Nov-92,176,2,0,null
Kyle,WALKER ,England,2,Defender,28-May-90,178,40,0,0
Granit,XHAKA ,Switzerland,10,Midfielder,27-Sep-92,183,66,10,0
Thomas,MUELLER ,Germany,13,Midfielder,13-Sep-89,186,94,38,0
Milad,MOHAMMADI ,IR Iran,5,Defender,29-Sep-93,178,21,0,0
EDERSON, ,Brazil,23,Goalkeeper,17-Aug-93,188,1,0,null
Tomi,JURIC ,Australia,9,Forward,22-Jul-91,190,38,8,0
KIM,Younggwon ,Korea Republic,19,Defender,27-Feb-90,184,56,3,0
Daniel,COLINDRES ,Costa Rica,9,Midfielder,10-Jan-85,180,13,0,0
Jose,Luis RODRIGUEZ,Panama,21,Midfielder,19-Jun-98,180,5,0,0
Masoud,SHOJAEI ,IR Iran,7,Midfielder,9-Jun-84,187,75,8,0
Amir,ABEDZADEH ,IR Iran,22,Goalkeeper,26-Apr-93,186,1,0,null
Piotr,ZIELINSKI ,Poland,19,Midfielder,20-May-94,177,36,5,0
Kasper,DOLBERG ,Denmark,12,Forward,6-Oct-97,187,7,1,0
Raheem,STERLING ,England,10,Forward,8-Dec-94,170,44,2,0
Marcos,ROJO ,Argentina,16,Defender,20-Mar-90,189,59,3,0
Sebastian,RUDY ,Germany,19,Midfielder,28-Feb-90,179,26,1,0
Andrey,SEMENOV ,Russia,5,Defender,24-Mar-89,191,6,0,null
Thomas,LEMAR ,France,8,Forward,12-Nov-95,172,13,3,0
Ricardo,AVILA ,Panama,19,Midfielder,4-Feb-97,182,7,0,0
Joshua,KIMMICH ,Germany,18,Defender,8-Feb-95,176,32,3,0
Aleksandar,PRIJOVIC ,Serbia,8,Forward,21-Apr-90,191,10,1,0
Yohan,BEN ALOUANE,Tunisia,3,Defender,28-Mar-87,185,5,0,0
Jose,CUADRADO ,Colombia,22,Goalkeeper,1-Jun-85,180,1,0,null
Daler,KUZIAEV ,Russia,7,Midfielder,15-Jan-93,182,11,0,0
Alexey,MIRANCHUK ,Russia,15,Midfielder,17-Oct-95,185,19,4,0
Nikola,KALINIC ,Croatia,16,Forward,5-Jan-88,187,42,15,null
Eduardo,SALVIO ,Argentina,18,Defender,13-Jul-90,167,11,0,0
MOHAMED,ELSHENAWY ,Egypt,23,Goalkeeper,18-Dec-88,191,5,0,0
Maximiliano,PEREIRA ,Uruguay,16,Defender,8-Jun-84,173,125,3,null
Frederik,SCHRAM ,Iceland,12,Goalkeeper,19-Jan-95,198,4,0,null
Kara,MBODJI ,Senegal,4,Defender,22-Nov-89,192,43,5,null
BRUNO,ALVES ,Portugal,2,Defender,27-Nov-81,187,96,11,null
Odion,IGHALO ,Nigeria,9,Forward,16-Jun-89,188,22,4,0
Andrej,KRAMARIC ,Croatia,9,Forward,19-Jun-91,177,38,10,0
ANTHONY,LOPES ,Portugal,12,Goalkeeper,1-Oct-90,184,7,0,null
Yassine,BOUNOU ,Morocco,1,Goalkeeper,5-Apr-91,190,34,0,null
Thiago,CIONEK ,Poland,4,Defender,21-Apr-86,184,20,0,0
Pape,Alioune NDIAYE,Senegal,17,Midfielder,27-Oct-90,181,17,1,0
Emil,KRAFTH ,Sweden,16,Defender,2-Aug-94,181,15,0,0
Cristhian,STUANI ,Uruguay,11,Forward,12-Oct-86,186,43,5,0
Eric,DIER ,England,4,Midfielder,15-Jan-94,188,32,3,0
Leander,DENDONCKER ,Belgium,23,Defender,15-Apr-95,188,6,0,0
