first-name,last-name,team,jersey,position,Bdate,height,caps,goals,match_red_card
Ludwig,AUGUSTINSSON ,Sweden,6,Defender,21-Apr-94,181,20,1,0
Jannik,VESTERGAARD ,Denmark,3,Defender,3-Aug-92,200,16,1,null
James,MEREDITH ,Australia,3,Defender,5-Apr-88,179,2,0,null
Michael,KROHN-DEHLI ,Denmark,2,Midfielder,6-Jun-83,171,59,6,0
Andrew,NABBOUT ,Australia,11,Forward,17-Dec-92,178,6,1,0
JO,Hyeonwoo ,Korea Republic,23,Goalkeeper,25-Sep-91,189,9,0,0
Lovre,KALINIC ,Croatia,12,Goalkeeper,3-Apr-90,201,12,0,0
Francis,UZOHO ,Nigeria,23,Goalkeeper,28-Oct-98,196,9,0,0
Reza,GHOOCHANNEJHAD ,IR Iran,16,Forward,20-Sep-87,180,43,17,null
Pontus,JANSSON ,Sweden,18,Defender,13-Feb-91,194,17,0,0
Alex,IWOBI ,Nigeria,18,Forward,3-May-96,185,21,5,0
Mile,JEDINAK ,Australia,15,Midfielder,3-Aug-84,188,79,20,0
GONCALO,GUEDES ,Portugal,17,Forward,29-Nov-96,179,14,3,0
Steven,NZONZI ,France,15,Midfielder,15-Dec-88,197,9,0,0
Valon,BEHRAMI ,Switzerland,11,Midfielder,19-Apr-85,184,83,2,0
Manuel,DA COSTA,Morocco,4,Defender,6-May-86,187,30,2,0
Yeltsin,TEJEDA ,Costa Rica,17,Midfielder,17-Mar-92,179,50,0,0
Thorgan,HAZARD ,Belgium,16,Midfielder,29-Mar-93,174,13,1,0
HWANG,Heechan ,Korea Republic,11,Forward,26-Jan-96,177,17,2,0
WILLIAN, ,Brazil,19,Midfielder,9-Aug-88,175,62,8,0
Xherdan,SHAQIRI ,Switzerland,23,Midfielder,10-Oct-91,169,74,21,0
Jan,VERTONGHEN ,Belgium,5,Defender,24-Apr-87,189,108,9,0
Kenneth,OMERUO ,Nigeria,22,Defender,17-Oct-93,185,40,0,0
Abdoulaye,DIALLO ,Senegal,1,Goalkeeper,30-Mar-92,189,16,0,null
