player-name,team,jersey,position,Bdate,height,caps,goals,match_red_card,,
Andre CARRILLO,Peru,18,Forward,6/14/1991,182.0 cm,49,6,0,,"insert into player values ('Andre CARRILLO','Peru',18,'Forward',to_date('6/14/1991','mm/dd/yyyy'),'182.0 cm',49,6,0);"
Jacek GORALSKI,Poland,6,Midfielder,9/21/1992,172.0 cm,7,0,0,,"insert into player values ('Jacek GORALSKI','Poland',6,'Midfielder',to_date('9/21/1992','mm/dd/yyyy'),'172.0 cm',7,0,0);"
PEDRO GEROMEL,Brazil,4,Defender,9/21/1985,190.0 cm,2,0,NULL,,"insert into player values ('PEDRO GEROMEL','Brazil',4,'Defender',to_date('9/21/1985','mm/dd/yyyy'),'190.0 cm',2,0,NULL);"
Lucas VAZQUEZ,Spain,11,Forward,7/1/1991,173.0 cm,9,0,0,,"insert into player values ('Lucas VAZQUEZ','Spain',11,'Forward',to_date('7/1/1991','mm/dd/yyyy'),'173.0 cm',9,0,0);"
Hakim ZIYACH,Morocco,7,Midfielder,3/19/1993,180.0 cm,21,10,0,,"insert into player values ('Hakim ZIYACH','Morocco',7,'Midfielder',to_date('3/19/1993','mm/dd/yyyy'),'180.0 cm',21,10,0);"
Abdiel ARROYO,Panama,16,Forward,12/13/1993,183.0 cm,35,5,0,,"insert into player values ('Abdiel ARROYO','Panama',16,'Forward',to_date('12/13/1993','mm/dd/yyyy'),'183.0 cm',35,5,0);"
Nacho MONREAL,Spain,16,Defender,2/26/1986,179.0 cm,22,1,NULL,,"insert into player values ('Nacho MONREAL','Spain',16,'Defender',to_date('2/26/1986','mm/dd/yyyy'),'179.0 cm',22,1,NULL);"
Mathew LECKIE,Australia,7,Forward,2/4/1991,181.0 cm,56,8,0,,"insert into player values ('Mathew LECKIE','Australia',7,'Forward',to_date('2/4/1991','mm/dd/yyyy'),'181.0 cm',56,8,0);"
Cristian PAVON,Argentina,22,Midfielder,1/21/1996,169.0 cm,9,0,0,,"insert into player values ('Cristian PAVON','Argentina',22,'Midfielder',to_date('1/21/1996','mm/dd/yyyy'),'169.0 cm',9,0,0);"
Juan CUADRADO,Colombia,11,Midfielder,5/26/1988,179.0 cm,73,8,0,,"insert into player values ('Juan CUADRADO','Colombia',11,'Midfielder',to_date('5/26/1988','mm/dd/yyyy'),'179.0 cm',73,8,0);"
Branislav IVANOVIC,Serbia,6,Defender,2/22/1984,185.0 cm,105,13,0,,"insert into player values ('Branislav IVANOVIC','Serbia',6,'Defender',to_date('2/22/1984','mm/dd/yyyy'),'185.0 cm',105,13,0);"
Keylor NAVAS,Costa Rica,1,Goalkeeper,12/15/1986,185.0 cm,84,0,0,,"insert into player values ('Keylor NAVAS','Costa Rica',1,'Goalkeeper',to_date('12/15/1986','mm/dd/yyyy'),'185.0 cm',84,0,0);"
Iury GAZINSKY,Russia,8,Midfielder,7/20/1989,180.0 cm,10,1,0,,"insert into player values ('Iury GAZINSKY','Russia',8,'Midfielder',to_date('7/20/1989','mm/dd/yyyy'),'180.0 cm',10,1,0);"
Davinson SANCHEZ,Colombia,23,Defender,6/12/1996,187.0 cm,13,0,0,,"insert into player values ('Davinson SANCHEZ','Colombia',23,'Defender',to_date('6/12/1996','mm/dd/yyyy'),'187.0 cm',13,0,0);"
Victor LINDELOF,Sweden,3,Defender,7/17/1994,187.0 cm,25,1,0,,"insert into player values ('Victor LINDELOF','Sweden',3,'Defender',to_date('7/17/1994','mm/dd/yyyy'),'187.0 cm',25,1,0);"
Monir EL KAJOUI,Morocco,12,Goalkeeper,5/10/1989,190.0 cm,36,0,0,,"insert into player values ('Monir EL KAJOUI','Morocco',12,'Goalkeeper',to_date('5/10/1989','mm/dd/yyyy'),'190.0 cm',36,0,0);"
Artur JEDRZEJCZYK,Poland,3,Defender,11/4/1987,189.0 cm,37,3,0,,"insert into player values ('Artur JEDRZEJCZYK','Poland',3,'Defender',to_date('11/4/1987','mm/dd/yyyy'),'189.0 cm',37,3,0);"
Antoine GRIEZMANN,France,7,Forward,3/21/1991,174.0 cm,61,24,0,,"insert into player values ('Antoine GRIEZMANN','France',7,'Forward',to_date('3/21/1991','mm/dd/yyyy'),'174.0 cm',61,24,0);"
Michael MURILLO,Panama,2,Defender,2/11/1996,183.0 cm,24,2,0,,"insert into player values ('Michael MURILLO','Panama',2,'Defender',to_date('2/11/1996','mm/dd/yyyy'),'183.0 cm',24,2,0);"
Aymen MATHLOUTHI,Tunisia,16,Goalkeeper,9/14/1984,182.0 cm,72,0,0,,"insert into player values ('Aymen MATHLOUTHI','Tunisia',16,'Goalkeeper',to_date('9/14/1984','mm/dd/yyyy'),'182.0 cm',72,0,0);"
ALISSON,Brazil,1,Goalkeeper,10/2/1992,193.0 cm,31,0,0,,"insert into player values ('ALISSON','Brazil',1,'Goalkeeper',to_date('10/2/1992','mm/dd/yyyy'),'193.0 cm',31,0,0);"
Iago ASPAS,Spain,17,Forward,8/1/1987,176.0 cm,13,6,0,,"insert into player values ('Iago ASPAS','Spain',17,'Forward',to_date('8/1/1987','mm/dd/yyyy'),'176.0 cm',13,6,0);"
LEE Seungwoo,Korea Republic,10,Midfielder,1/6/1998,170.0 cm,6,0,0,,"insert into player values ('LEE Seungwoo','Korea Republic',10,'Midfielder',to_date('1/6/1998','mm/dd/yyyy'),'170.0 cm',6,0,0);"
TREZIGUET,Egypt,21,Midfielder,10/1/1994,181.0 cm,29,2,0,,"insert into player values ('TREZIGUET','Egypt',21,'Midfielder',to_date('10/1/1994','mm/dd/yyyy'),'181.0 cm',29,2,0);"
Tim CAHILL,Australia,4,Forward,12/6/1979,180.0 cm,107,50,0,,"insert into player values ('Tim CAHILL','Australia',4,'Forward',to_date('12/6/1979','mm/dd/yyyy'),'180.0 cm',107,50,0);"
Karol LINETTY,Poland,8,Midfielder,2/2/1995,176.0 cm,20,1,NULL,,"insert into player values ('Karol LINETTY','Poland',8,'Midfielder',to_date('2/2/1995','mm/dd/yyyy'),'176.0 cm',20,1,NULL);"
Marco FABIAN,Mexico,8,Forward,7/21/1989,171.0 cm,40,9,0,,"insert into player values ('Marco FABIAN','Mexico',8,'Forward',to_date('7/21/1989','mm/dd/yyyy'),'171.0 cm',40,9,0);"
BERNARDO SILVA,Portugal,11,Midfielder,8/10/1994,173.0 cm,29,2,0,,"insert into player values ('BERNARDO SILVA','Portugal',11,'Midfielder',to_date('8/10/1994','mm/dd/yyyy'),'173.0 cm',29,2,0);"
Ramin REZAEIAN,IR Iran,23,Defender,3/21/1990,185.0 cm,29,2,0,,"insert into player values ('Ramin REZAEIAN','IR Iran',23,'Defender',to_date('3/21/1990','mm/dd/yyyy'),'185.0 cm',29,2,0);"
Denis ZAKARIA,Switzerland,17,Midfielder,11/20/1996,189.0 cm,12,0,0,,"insert into player values ('Denis ZAKARIA','Switzerland',17,'Midfielder',to_date('11/20/1996','mm/dd/yyyy'),'189.0 cm',12,0,0);"
Morteza POURALIGANJI,IR Iran,8,Defender,4/19/1992,187.0 cm,30,2,0,,"insert into player values ('Morteza POURALIGANJI','IR Iran',8,'Defender',to_date('4/19/1992','mm/dd/yyyy'),'187.0 cm',30,2,0);"
Martin BRAITHWAITE,Denmark,11,Forward,6/5/1991,180.0 cm,24,1,0,,"insert into player values ('Martin BRAITHWAITE','Denmark',11,'Forward',to_date('6/5/1991','mm/dd/yyyy'),'180.0 cm',24,1,0);"
Carlos SANCHEZ,Uruguay,5,Midfielder,12/2/1984,171.0 cm,38,1,0,,"insert into player values ('Carlos SANCHEZ','Uruguay',5,'Midfielder',to_date('12/2/1984','mm/dd/yyyy'),'171.0 cm',38,1,0);"
Jackson IRVINE,Australia,22,Midfielder,3/7/1993,180.0 cm,22,2,0,,"insert into player values ('Jackson IRVINE','Australia',22,'Midfielder',to_date('3/7/1993','mm/dd/yyyy'),'180.0 cm',22,2,0);"
Christian RAMOS,Peru,15,Defender,11/4/1988,182.0 cm,73,3,0,,"insert into player values ('Christian RAMOS','Peru',15,'Defender',to_date('11/4/1988','mm/dd/yyyy'),'182.0 cm',73,3,0);"
Mesut OEZIL,Germany,10,Midfielder,10/15/1988,180.0 cm,92,23,0,,"insert into player values ('Mesut OEZIL','Germany',10,'Midfielder',to_date('10/15/1988','mm/dd/yyyy'),'180.0 cm',92,23,0);"
Yann SOMMER,Switzerland,1,Goalkeeper,12/17/1988,183.0 cm,39,0,0,,"insert into player values ('Yann SOMMER','Switzerland',1,'Goalkeeper',to_date('12/17/1988','mm/dd/yyyy'),'183.0 cm',39,0,0);"
Toni KROOS,Germany,8,Midfielder,1/4/1990,182.0 cm,86,13,0,,"insert into player values ('Toni KROOS','Germany',8,'Midfielder',to_date('1/4/1990','mm/dd/yyyy'),'182.0 cm',86,13,0);"
Giovani DOS SANTOS,Mexico,10,Midfielder,5/11/1989,178.0 cm,106,19,0,,"insert into player values ('Giovani DOS SANTOS','Mexico',10,'Midfielder',to_date('5/11/1989','mm/dd/yyyy'),'178.0 cm',106,19,0);"
KOO Jacheol,Korea Republic,13,Midfielder,2/27/1989,182.0 cm,70,19,0,,"insert into player values ('KOO Jacheol','Korea Republic',13,'Midfielder',to_date('2/27/1989','mm/dd/yyyy'),'182.0 cm',70,19,0);"
Jens Stryger LARSEN,Denmark,17,Defender,2/21/1991,182.0 cm,16,1,0,,"insert into player values ('Jens Stryger LARSEN','Denmark',17,'Defender',to_date('2/21/1991','mm/dd/yyyy'),'182.0 cm',16,1,0);"
ADRIEN SILVA,Portugal,23,Midfielder,3/15/1989,176.0 cm,27,1,0,,"insert into player values ('ADRIEN SILVA','Portugal',23,'Midfielder',to_date('3/15/1989','mm/dd/yyyy'),'176.0 cm',27,1,0);"
Remo FREULER,Switzerland,8,Midfielder,4/15/1992,181.0 cm,10,0,NULL,,"insert into player values ('Remo FREULER','Switzerland',8,'Midfielder',to_date('4/15/1992','mm/dd/yyyy'),'181.0 cm',10,0,NULL);"
Mohammad Reza KHANZADEH,IR Iran,13,Defender,5/11/1991,186.0 cm,8,1,NULL,,"insert into player values ('Mohammad Reza KHANZADEH','IR Iran',13,'Defender',to_date('5/11/1991','mm/dd/yyyy'),'186.0 cm',8,1,NULL);"
Samuel UMTITI,France,5,Defender,11/14/1993,183.0 cm,25,3,0,,"insert into player values ('Samuel UMTITI','France',5,'Defender',to_date('11/14/1993','mm/dd/yyyy'),'183.0 cm',25,3,0);"
Ivan RAKITIC,Croatia,7,Midfielder,3/10/1988,184.0 cm,99,15,0,,"insert into player values ('Ivan RAKITIC','Croatia',7,'Midfielder',to_date('3/10/1988','mm/dd/yyyy'),'184.0 cm',99,15,0);"
Paolo GUERRERO,Peru,9,Forward,1/1/1984,185.0 cm,92,36,0,,"insert into player values ('Paolo GUERRERO','Peru',9,'Forward',to_date('1/1/1984','mm/dd/yyyy'),'185.0 cm',92,36,0);"
Edson ALVAREZ,Mexico,21,Defender,10/24/1997,186.0 cm,17,1,0,,"insert into player values ('Edson ALVAREZ','Mexico',21,'Defender',to_date('10/24/1997','mm/dd/yyyy'),'186.0 cm',17,1,0);"
YASSER ALSHAHRANI,Saudi Arabia,13,Defender,5/25/1992,170.0 cm,38,0,0,,"insert into player values ('YASSER ALSHAHRANI','Saudi Arabia',13,'Defender',to_date('5/25/1992','mm/dd/yyyy'),'170.0 cm',38,0,0);"
Ante REBIC,Croatia,18,Forward,9/21/1993,185.0 cm,22,2,0,,"insert into player values ('Ante REBIC','Croatia',18,'Forward',to_date('9/21/1993','mm/dd/yyyy'),'185.0 cm',22,2,0);"
Tyronne EBUEHI,Nigeria,21,Defender,12/16/1995,187.0 cm,8,0,0,,"insert into player values ('Tyronne EBUEHI','Nigeria',21,'Defender',to_date('12/16/1995','mm/dd/yyyy'),'187.0 cm',8,0,0);"
Gaston SILVA,Uruguay,13,Defender,3/5/1994,185.0 cm,17,0,NULL,,"insert into player values ('Gaston SILVA','Uruguay',13,'Defender',to_date('3/5/1994','mm/dd/yyyy'),'185.0 cm',17,0,NULL);"
Gotoku SAKAI,Japan,21,Defender,3/14/1991,176.0 cm,42,0,0,,"insert into player values ('Gotoku SAKAI','Japan',21,'Defender',to_date('3/14/1991','mm/dd/yyyy'),'176.0 cm',42,0,0);"
Younes BELHANDA,Morocco,10,Midfielder,2/25/1990,174.0 cm,53,5,0,,"insert into player values ('Younes BELHANDA','Morocco',10,'Midfielder',to_date('2/25/1990','mm/dd/yyyy'),'174.0 cm',53,5,0);"
Tin JEDVAJ,Croatia,13,Defender,11/28/1995,184.0 cm,13,0,0,,"insert into player values ('Tin JEDVAJ','Croatia',13,'Defender',to_date('11/28/1995','mm/dd/yyyy'),'184.0 cm',13,0,0);"
William EKONG,Nigeria,5,Defender,9/1/1993,191.0 cm,24,1,0,,"insert into player values ('William EKONG','Nigeria',5,'Defender',to_date('9/1/1993','mm/dd/yyyy'),'191.0 cm',24,1,0);"
NEYMAR,Brazil,10,Forward,2/5/1992,175.0 cm,90,57,0,,"insert into player values ('NEYMAR','Brazil',10,'Forward',to_date('2/5/1992','mm/dd/yyyy'),'175.0 cm',90,57,0);"
Sergej MILINKOVIC-SAVIC,Serbia,20,Midfielder,2/27/1995,192.0 cm,7,0,0,,"insert into player values ('Sergej MILINKOVIC-SAVIC','Serbia',20,'Midfielder',to_date('2/27/1995','mm/dd/yyyy'),'192.0 cm',7,0,0);"
Wataru ENDO,Japan,6,Defender,2/9/1993,178.0 cm,12,0,NULL,,"insert into player values ('Wataru ENDO','Japan',6,'Defender',to_date('2/9/1993','mm/dd/yyyy'),'178.0 cm',12,0,NULL);"
Oribe PERALTA,Mexico,19,Forward,1/12/1984,178.0 cm,67,26,0,,"insert into player values ('Oribe PERALTA','Mexico',19,'Forward',to_date('1/12/1984','mm/dd/yyyy'),'178.0 cm',67,26,0);"
Matthias GINTER,Germany,4,Defender,1/19/1994,189.0 cm,18,0,NULL,,"insert into player values ('Matthias GINTER','Germany',4,'Defender',to_date('1/19/1994','mm/dd/yyyy'),'189.0 cm',18,0,NULL);"
Corentin TOLISSO,France,12,Midfielder,8/3/1994,180.0 cm,14,0,0,,"insert into player values ('Corentin TOLISSO','France',12,'Midfielder',to_date('8/3/1994','mm/dd/yyyy'),'180.0 cm',14,0,0);"
MIRANDA,Brazil,3,Defender,9/7/1984,186.0 cm,52,2,0,,"insert into player values ('MIRANDA','Brazil',3,'Defender',to_date('9/7/1984','mm/dd/yyyy'),'186.0 cm',52,2,0);"
PHILIPPE COUTINHO,Brazil,11,Midfielder,6/12/1992,172.0 cm,41,12,0,,"insert into player values ('PHILIPPE COUTINHO','Brazil',11,'Midfielder',to_date('6/12/1992','mm/dd/yyyy'),'172.0 cm',41,12,0);"
Diego LAXALT,Uruguay,17,Midfielder,2/7/1993,178.0 cm,10,0,0,,"insert into player values ('Diego LAXALT','Uruguay',17,'Midfielder',to_date('2/7/1993','mm/dd/yyyy'),'178.0 cm',10,0,0);"
Johann GUDMUNDSSON,Iceland,7,Midfielder,10/27/1990,179.0 cm,69,7,0,,"insert into player values ('Johann GUDMUNDSSON','Iceland',7,'Midfielder',to_date('10/27/1990','mm/dd/yyyy'),'179.0 cm',69,7,0);"
Santiago ARIAS,Colombia,4,Defender,1/13/1992,177.0 cm,45,0,0,,"insert into player values ('Santiago ARIAS','Colombia',4,'Defender',to_date('1/13/1992','mm/dd/yyyy'),'177.0 cm',45,0,0);"
Wilmar BARRIOS,Colombia,5,Midfielder,10/16/1993,178.0 cm,13,0,0,,"insert into player values ('Wilmar BARRIOS','Colombia',5,'Midfielder',to_date('10/16/1993','mm/dd/yyyy'),'178.0 cm',13,0,0);"
Filip HELANDER,Sweden,14,Defender,4/22/1993,192.0 cm,4,0,NULL,,"insert into player values ('Filip HELANDER','Sweden',14,'Defender',to_date('4/22/1993','mm/dd/yyyy'),'192.0 cm',4,0,NULL);"
Gen SHOJI,Japan,3,Defender,12/11/1992,182.0 cm,15,1,0,,"insert into player values ('Gen SHOJI','Japan',3,'Defender',to_date('12/11/1992','mm/dd/yyyy'),'182.0 cm',15,1,0);"
Marco ASENSIO,Spain,20,Midfielder,1/21/1996,182.0 cm,15,0,0,,"insert into player values ('Marco ASENSIO','Spain',20,'Midfielder',to_date('1/21/1996','mm/dd/yyyy'),'182.0 cm',15,0,0);"
KIM Jinhyeon,Korea Republic,21,Goalkeeper,7/6/1987,193.0 cm,15,0,NULL,,"insert into player values ('KIM Jinhyeon','Korea Republic',21,'Goalkeeper',to_date('7/6/1987','mm/dd/yyyy'),'193.0 cm',15,0,NULL);"
Andres INIESTA,Spain,6,Midfielder,5/11/1984,171.0 cm,131,13,0,,"insert into player values ('Andres INIESTA','Spain',6,'Midfielder',to_date('5/11/1984','mm/dd/yyyy'),'171.0 cm',131,13,0);"
Omid EBRAHIMI,IR Iran,9,Midfielder,9/16/1987,178.0 cm,32,0,0,,"insert into player values ('Omid EBRAHIMI','IR Iran',9,'Midfielder',to_date('9/16/1987','mm/dd/yyyy'),'178.0 cm',32,0,0);"
Gelson FERNANDES,Switzerland,16,Midfielder,9/2/1986,180.0 cm,67,2,NULL,,"insert into player values ('Gelson FERNANDES','Switzerland',16,'Midfielder',to_date('9/2/1986','mm/dd/yyyy'),'180.0 cm',67,2,NULL);"
Ahmed KHALIL,Tunisia,15,Forward,12/21/1994,187.0 cm,3,0,0,,"insert into player values ('Ahmed KHALIL','Tunisia',15,'Forward',to_date('12/21/1994','mm/dd/yyyy'),'187.0 cm',3,0,0);"
THIAGO SILVA,Brazil,2,Defender,9/22/1984,183.0 cm,76,6,0,,"insert into player values ('THIAGO SILVA','Brazil',2,'Defender',to_date('9/22/1984','mm/dd/yyyy'),'183.0 cm',76,6,0);"
Lukasz TEODORCZYK,Poland,14,Forward,6/3/1991,185.0 cm,19,4,0,,"insert into player values ('Lukasz TEODORCZYK','Poland',14,'Forward',to_date('6/3/1991','mm/dd/yyyy'),'185.0 cm',19,4,0);"
Kenner GUTIERREZ,Costa Rica,22,Defender,6/9/1989,178.0 cm,9,0,NULL,,"insert into player values ('Kenner GUTIERREZ','Costa Rica',22,'Defender',to_date('6/9/1989','mm/dd/yyyy'),'178.0 cm',9,0,NULL);"
Dominik LIVAKOVIC,Croatia,1,Goalkeeper,1/9/1995,188.0 cm,1,0,NULL,,"insert into player values ('Dominik LIVAKOVIC','Croatia',1,'Goalkeeper',to_date('1/9/1995','mm/dd/yyyy'),'188.0 cm',1,0,NULL);"
Saeid EZATOLAHI,IR Iran,6,Midfielder,10/1/1996,190.0 cm,27,2,0,,"insert into player values ('Saeid EZATOLAHI','IR Iran',6,'Midfielder',to_date('10/1/1996','mm/dd/yyyy'),'190.0 cm',27,2,0);"
Cheikhou KOUYATE,Senegal,8,Midfielder,12/21/1989,189.0 cm,51,3,0,,"insert into player values ('Cheikhou KOUYATE','Senegal',8,'Midfielder',to_date('12/21/1989','mm/dd/yyyy'),'189.0 cm',51,3,0);"
Toby ALDERWEIRELD,Belgium,2,Defender,3/2/1989,186.0 cm,83,3,0,,"insert into player values ('Toby ALDERWEIRELD','Belgium',2,'Defender',to_date('3/2/1989','mm/dd/yyyy'),'186.0 cm',83,3,0);"
Aron GUNNARSSON,Iceland,17,Midfielder,4/22/1989,181.0 cm,80,2,0,,"insert into player values ('Aron GUNNARSSON','Iceland',17,'Midfielder',to_date('4/22/1989','mm/dd/yyyy'),'181.0 cm',80,2,0);"
Pedro AQUINO,Peru,23,Midfielder,4/13/1995,174.0 cm,16,0,0,,"insert into player values ('Pedro AQUINO','Peru',23,'Midfielder',to_date('4/13/1995','mm/dd/yyyy'),'174.0 cm',16,0,0);"
Mateus URIBE,Colombia,15,Midfielder,3/21/1991,182.0 cm,11,0,0,,"insert into player values ('Mateus URIBE','Colombia',15,'Midfielder',to_date('3/21/1991','mm/dd/yyyy'),'182.0 cm',11,0,0);"
Rafael MARQUEZ,Mexico,4,Defender,2/13/1979,184.0 cm,148,15,0,,"insert into player values ('Rafael MARQUEZ','Mexico',4,'Defender',to_date('2/13/1979','mm/dd/yyyy'),'184.0 cm',148,15,0);"
Thomas DELANEY,Denmark,8,Midfielder,9/3/1991,180.0 cm,31,4,0,,"insert into player values ('Thomas DELANEY','Denmark',8,'Midfielder',to_date('9/3/1991','mm/dd/yyyy'),'180.0 cm',31,4,0);"
Guillermo VARELA,Uruguay,4,Defender,3/24/1993,173.0 cm,5,0,0,,"insert into player values ('Guillermo VARELA','Uruguay',4,'Defender',to_date('3/24/1993','mm/dd/yyyy'),'173.0 cm',5,0,0);"
ROBERTO FIRMINO,Brazil,20,Forward,10/2/1991,181.0 cm,25,7,0,,"insert into player values ('ROBERTO FIRMINO','Brazil',20,'Forward',to_date('10/2/1991','mm/dd/yyyy'),'181.0 cm',25,7,0);"
DOUGLAS COSTA,Brazil,7,Forward,9/14/1990,182.0 cm,27,3,0,,"insert into player values ('DOUGLAS COSTA','Brazil',7,'Forward',to_date('9/14/1990','mm/dd/yyyy'),'182.0 cm',27,3,0);"
Johan VENEGAS,Costa Rica,11,Forward,11/27/1988,183.0 cm,49,10,0,,"insert into player values ('Johan VENEGAS','Costa Rica',11,'Forward',to_date('11/27/1988','mm/dd/yyyy'),'183.0 cm',49,10,0);"
Javier AQUINO,Mexico,20,Midfielder,2/11/1990,166.0 cm,53,0,NULL,,"insert into player values ('Javier AQUINO','Mexico',20,'Midfielder',to_date('2/11/1990','mm/dd/yyyy'),'166.0 cm',53,0,NULL);"
Oscar DUARTE,Costa Rica,6,Defender,6/3/1989,186.0 cm,38,2,0,,"insert into player values ('Oscar DUARTE','Costa Rica',6,'Defender',to_date('6/3/1989','mm/dd/yyyy'),'186.0 cm',38,2,0);"
Franco ARMANI,Argentina,12,Goalkeeper,10/16/1986,189.0 cm,2,0,0,,"insert into player values ('Franco ARMANI','Argentina',12,'Goalkeeper',to_date('10/16/1986','mm/dd/yyyy'),'189.0 cm',2,0,0);"
Fabian SCHAER,Switzerland,22,Defender,12/20/1991,186.0 cm,42,7,0,,"insert into player values ('Fabian SCHAER','Switzerland',22,'Defender',to_date('12/20/1991','mm/dd/yyyy'),'186.0 cm',42,7,0);"
Lucas HERNANDEZ,France,21,Defender,2/14/1996,183.0 cm,12,0,0,,"insert into player values ('Lucas HERNANDEZ','France',21,'Defender',to_date('2/14/1996','mm/dd/yyyy'),'183.0 cm',12,0,0);"
Jesse  LINGARD,England,7,Midfielder,12/15/1992,175.0 cm,18,2,0,,"insert into player values ('Jesse  LINGARD','England',7,'Midfielder',to_date('12/15/1992','mm/dd/yyyy'),'175.0 cm',18,2,0);"
Salif SANE,Senegal,6,Midfielder,8/25/1990,196.0 cm,21,0,0,,"insert into player values ('Salif SANE','Senegal',6,'Midfielder',to_date('8/25/1990','mm/dd/yyyy'),'196.0 cm',21,0,0);"
Milos VELJKOVIC,Serbia,13,Defender,9/26/1995,188.0 cm,3,0,0,,"insert into player values ('Milos VELJKOVIC','Serbia',13,'Defender',to_date('9/26/1995','mm/dd/yyyy'),'188.0 cm',3,0,0);"
Mateo KOVACIC,Croatia,8,Midfielder,5/6/1994,178.0 cm,46,1,0,,"insert into player values ('Mateo KOVACIC','Croatia',8,'Midfielder',to_date('5/6/1994','mm/dd/yyyy'),'178.0 cm',46,1,0);"
Danny VUKOVIC,Australia,18,Goalkeeper,3/27/1985,187.0 cm,1,0,NULL,,"insert into player values ('Danny VUKOVIC','Australia',18,'Goalkeeper',to_date('3/27/1985','mm/dd/yyyy'),'187.0 cm',1,0,NULL);"
Kamil GLIK,Poland,15,Defender,2/3/1988,190.0 cm,60,4,0,,"insert into player values ('Kamil GLIK','Poland',15,'Defender',to_date('2/3/1988','mm/dd/yyyy'),'190.0 cm',60,4,0);"
Miguel LAYUN,Mexico,7,Midfielder,6/25/1988,180.0 cm,68,6,0,,"insert into player values ('Miguel LAYUN','Mexico',7,'Midfielder',to_date('6/25/1988','mm/dd/yyyy'),'180.0 cm',68,6,0);"
SAUL,Spain,7,Midfielder,11/21/1994,183.0 cm,10,0,NULL,,"insert into player values ('SAUL','Spain',7,'Midfielder',to_date('11/21/1994','mm/dd/yyyy'),'183.0 cm',10,0,NULL);"
Jose IZQUIERDO,Colombia,21,Forward,7/7/1992,171.0 cm,6,1,0,,"insert into player values ('Jose IZQUIERDO','Colombia',21,'Forward',to_date('7/7/1992','mm/dd/yyyy'),'171.0 cm',6,1,0);"
SALEM ALDAWSARI,Saudi Arabia,18,Midfielder,8/19/1991,174.0 cm,34,5,0,,"insert into player values ('SALEM ALDAWSARI','Saudi Arabia',18,'Midfielder',to_date('8/19/1991','mm/dd/yyyy'),'174.0 cm',34,5,0);"
Duje CALETA-CAR,Croatia,15,Defender,9/17/1996,192.0 cm,2,0,0,,"insert into player values ('Duje CALETA-CAR','Croatia',15,'Defender',to_date('9/17/1996','mm/dd/yyyy'),'192.0 cm',2,0,0);"
Francisco CALVO,Costa Rica,15,Defender,7/8/1992,180.0 cm,38,4,0,,"insert into player values ('Francisco CALVO','Costa Rica',15,'Defender',to_date('7/8/1992','mm/dd/yyyy'),'180.0 cm',38,4,0);"
JOAO MOUTINHO,Portugal,8,Midfielder,9/8/1986,170.0 cm,113,7,0,,"insert into player values ('JOAO MOUTINHO','Portugal',8,'Midfielder',to_date('9/8/1986','mm/dd/yyyy'),'170.0 cm',113,7,0);"
Julian BRANDT,Germany,20,Midfielder,5/2/1996,183.0 cm,19,1,0,,"insert into player values ('Julian BRANDT','Germany',20,'Midfielder',to_date('5/2/1996','mm/dd/yyyy'),'183.0 cm',19,1,0);"
KI Sungyueng,Korea Republic,16,Midfielder,1/24/1989,186.0 cm,104,10,0,,"insert into player values ('KI Sungyueng','Korea Republic',16,'Midfielder',to_date('1/24/1989','mm/dd/yyyy'),'186.0 cm',104,10,0);"
Youssef EN NESYRI,Morocco,19,Forward,6/1/1997,188.0 cm,17,3,0,,"insert into player values ('Youssef EN NESYRI','Morocco',19,'Forward',to_date('6/1/1997','mm/dd/yyyy'),'188.0 cm',17,3,0);"
Domagoj VIDA,Croatia,21,Defender,4/29/1989,184.0 cm,65,3,0,,"insert into player values ('Domagoj VIDA','Croatia',21,'Defender',to_date('4/29/1989','mm/dd/yyyy'),'184.0 cm',65,3,0);"
AMR WARDA,Egypt,22,Forward,9/17/1993,179.0 cm,20,0,0,,"insert into player values ('AMR WARDA','Egypt',22,'Forward',to_date('9/17/1993','mm/dd/yyyy'),'179.0 cm',20,0,0);"
Jonas LOSSL,Denmark,16,Goalkeeper,2/1/1989,195.0 cm,1,0,NULL,,"insert into player values ('Jonas LOSSL','Denmark',16,'Goalkeeper',to_date('2/1/1989','mm/dd/yyyy'),'195.0 cm',1,0,NULL);"
Haris SEFEROVIC,Switzerland,9,Forward,2/22/1992,186.0 cm,54,12,0,,"insert into player values ('Haris SEFEROVIC','Switzerland',9,'Forward',to_date('2/22/1992','mm/dd/yyyy'),'186.0 cm',54,12,0);"
Eric DAVIS,Panama,15,Defender,3/31/1991,180.0 cm,40,0,0,,"insert into player values ('Eric DAVIS','Panama',15,'Defender',to_date('3/31/1991','mm/dd/yyyy'),'180.0 cm',40,0,0);"
Andy POLO,Peru,14,Midfielder,9/29/1994,174.0 cm,17,1,NULL,,"insert into player values ('Andy POLO','Peru',14,'Midfielder',to_date('9/29/1994','mm/dd/yyyy'),'174.0 cm',17,1,NULL);"
Grzegorz KRYCHOWIAK,Poland,10,Midfielder,1/29/1990,186.0 cm,54,3,0,,"insert into player values ('Grzegorz KRYCHOWIAK','Poland',10,'Midfielder',to_date('1/29/1990','mm/dd/yyyy'),'186.0 cm',54,3,0);"
SALMAN ALFARAJ,Saudi Arabia,7,Midfielder,8/1/1989,179.0 cm,42,3,0,,"insert into player values ('SALMAN ALFARAJ','Saudi Arabia',7,'Midfielder',to_date('8/1/1989','mm/dd/yyyy'),'179.0 cm',42,3,0);"
